interview_id,ca_score_agg,ca_confidence,exp_score_agg,exp_confidence,ps_score_agg,ps_confidence,rel_score_agg,rel_confidence,prof_score_agg,prof_confidence,comm_score_agg,comm_confidence,overall_weighted_agg,p95_latency_ms
intv_0001,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1455.8999999999999
intv_0002,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1391.4
intv_0003,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1201.2
intv_0004,8,high,7,high,7,high,7,high,6,high,6,high,7.25,3427.5
intv_0005,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1182.6
intv_0006,8,high,7,high,7,high,7,high,6,high,6,high,7.25,928.3
intv_0007,8,medium,7,medium,7,medium,7,high,6,high,6,high,7.25,1195.7
intv_0008,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1438.6
intv_0009,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1161.3
intv_0010,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1056.3
intv_0011,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1210.0
intv_0012,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1371.6
intv_0013,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1272.1
intv_0014,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1141.3
intv_0015,8,high,7,high,7,high,7,high,6,high,6,high,7.25,3860.7999999999997
intv_0016,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1237.7
intv_0017,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1453.0
intv_0018,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1250.3999999999999
intv_0019,8,high,7,high,7,high,7,high,6,high,6,high,7.25,4028.1
intv_0020,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1237.7
intv_0021,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1180.9
intv_0022,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1382.3
intv_0023,8,high,7,high,7,high,7,high,6,high,6,high,7.25,947.5
intv_0024,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1123.4
intv_0025,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1369.0
intv_0026,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1150.9
intv_0027,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1071.3
intv_0028,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1004.7
intv_0029,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1168.4
intv_0030,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1305.7
intv_0031,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1657.3
intv_0032,8,high,7,high,7,high,7,high,6,high,6,high,7.25,2051.2
intv_0033,8,high,7,high,7,high,7,high,6,high,6,high,7.25,829.1
intv_0034,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1316.1
intv_0035,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1160.9
intv_0036,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1354.8
intv_0037,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1188.5
intv_0038,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1298.4
intv_0039,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1102.7
intv_0040,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1098.1
intv_0041,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1678.2
intv_0042,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1133.7
intv_0043,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1229.4
intv_0044,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1088.3
intv_0045,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1432.7
intv_0046,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1324.5
intv_0047,8,high,7,high,7,high,7,high,6,high,6,high,7.25,998.3
intv_0048,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1286.7
intv_0049,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1192.3
intv_0050,8,high,7,high,7,high,7,high,6,high,6,high,7.25,1151.1
