interview_id,role,model,num_samples,ca_score,ca_confidence,ca_std,exp_score,exp_confidence,exp_std,ps_score,ps_confidence,ps_std,rel_score,rel_confidence,rel_std,prof_score,prof_confidence,prof_std,comm_score,comm_confidence,comm_std,overall_weighted_score,avg_latency_ms,total_cost,avg_cost_per_sample
customer_service_representative_001,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,3.45,1354.1370868682861,0.0042675,0.0008534999999999999
customer_service_representative_002,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.55,1275.2637386322021,0.0037999999999999996,0.0007599999999999999
customer_service_representative_003,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,3.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.25,887.0753765106201,0.0041375,0.0008274999999999999
customer_service_representative_004,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.4898979485566356,2.9,890.6543254852295,0.003945,0.000789
customer_service_representative_005,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,3.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.25,717.2379493713379,0.0036175,0.0007235
customer_service_representative_006,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,1035.572624206543,0.0041575,0.0008315
customer_service_representative_007,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.4898979485566356,2.0,high,0.4898979485566356,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.55,826.9481182098389,0.003875,0.000775
customer_service_representative_008,Customer Service Representative,gpt-3.5-turbo,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.45,854.4131755828857,0.005865,0.001173
customer_service_representative_009,Customer Service Representative,gpt-3.5-turbo,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,7.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.4,864.8068904876709,0.005852499999999999,0.0011704999999999999
customer_service_representative_010,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,921.1561679840088,0.0043175,0.0008635
customer_service_representative_011,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,880.6663990020752,0.0044575,0.0008914999999999999
customer_service_representative_012,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,839.0474796295166,0.00392,0.000784
customer_service_representative_013,Customer Service Representative,gpt-3.5-turbo,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.48989794855663565,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.45,1004.0542125701904,0.005599999999999999,0.00112
customer_service_representative_014,Customer Service Representative,gpt-3.5-turbo,5,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,7.0,high,0.0,9.0,high,0.48989794855663565,9.0,high,0.0,8.4,1093.2446479797363,0.005815,0.001163
customer_service_representative_015,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,3.45,945.0004577636719,0.0036625,0.0007325
customer_service_representative_016,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.55,972.0564842224121,0.0037674999999999996,0.0007534999999999999
customer_service_representative_017,Customer Service Representative,gpt-3.5-turbo,5,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,3.45,961.2992286682129,0.0039724999999999995,0.0007944999999999999
customer_service_representative_018,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.55,697.6062297821045,0.0038725,0.0007745
customer_service_representative_019,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,2.0,high,0.0,1.0,high,0.0,2.0,high,0.0,2.0,high,0.0,2.3,859.9826335906982,0.0039875,0.0007974999999999999
customer_service_representative_020,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.0,high,0.0,2.0,high,0.39999999999999997,2.5,916.0487174987793,0.0037324999999999997,0.0007465
customer_service_representative_021,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,792.4535274505615,0.00458,0.0009159999999999999
customer_service_representative_022,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,891.9605255126953,0.0044425,0.0008885000000000001
customer_service_representative_023,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,2.0,high,0.0,4.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.5,905.4622173309326,0.003915,0.0007830000000000001
customer_service_representative_024,Customer Service Representative,gpt-3.5-turbo,5,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,2.0,high,0.0,2.55,794.308614730835,0.003765,0.000753
customer_service_representative_025,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,6.0,high,0.0,8.0,high,0.39999999999999997,7.0,high,0.39999999999999997,8.0,high,0.39999999999999997,8.0,high,0.0,6.9,725.3615379333496,0.0045024999999999996,0.0009004999999999999
customer_service_representative_026,Customer Service Representative,gpt-3.5-turbo,5,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,894.4752216339111,0.0044725,0.0008945
