interview_id,role,model,num_samples,ca_score,ca_confidence,ca_std,exp_score,exp_confidence,exp_std,ps_score,ps_confidence,ps_std,rel_score,rel_confidence,rel_std,prof_score,prof_confidence,prof_std,comm_score,comm_confidence,comm_std,overall_weighted_score,avg_latency_ms,total_cost,avg_cost_per_sample
customer_service_representative_001,Customer Service Representative,gpt-4o,7,4.0,high,0.0,3.0,high,0.0,5.0,high,0.0,5.0,high,0.3499271061118826,5.0,high,0.0,4.0,high,0.0,3.9,993.4383119855609,0.02877000000000001,0.004110000000000002
customer_service_representative_002,Customer Service Representative,gpt-4o,7,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,3.0,high,0.4517539514526256,2.75,810.1021221705845,0.025777499999999995,0.003682499999999999
customer_service_representative_003,Customer Service Representative,gpt-4o,7,4.0,high,0.0,3.0,high,0.0,4.0,high,0.0,5.0,high,0.0,5.0,high,0.0,4.0,high,0.0,3.75,1057.600838797433,0.028175000000000002,0.004025
customer_service_representative_004,Customer Service Representative,gpt-4o,7,4.0,high,0.4517539514526256,2.0,high,0.0,3.0,high,0.4517539514526256,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,3.1,1051.0965074811663,0.0267575,0.0038225
customer_service_representative_005,Customer Service Representative,gpt-4o,7,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,3.0,high,0.0,4.0,high,0.34992710611188266,4.0,high,0.0,2.75,949.8215743473598,0.024535000000000005,0.0035050000000000007
customer_service_representative_006,Customer Service Representative,gpt-4o,7,7.0,high,0.0,7.0,high,0.0,8.0,high,0.0,6.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.15,835.552522114345,0.028507499999999998,0.0040725
customer_service_representative_007,Customer Service Representative,gpt-4o,7,3.0,high,0.0,2.0,high,0.0,3.0,high,0.0,4.0,high,0.0,4.0,high,0.0,4.0,high,0.0,2.8,951.2510980878558,0.026232500000000002,0.0037475000000000004
customer_service_representative_008,Customer Service Representative,gpt-4o,7,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.5,1303.0425480433873,0.04023250000000001,0.005747500000000002
customer_service_representative_009,Customer Service Representative,gpt-4o,7,8.0,high,0.0,9.0,high,0.0,8.0,high,0.0,9.0,high,0.0,9.0,high,0.0,9.0,high,0.0,8.5,1084.113086972918,0.04032,0.00576
customer_service_representative_010,Customer Service Representative,gpt-4o,7,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,7.0,high,0.0,8.0,high,0.0,8.0,high,0.0,7.6,1062.1981280190605,0.029662499999999994,0.004237499999999999
