rater1,rater2,metric,icc,icc_low,icc_high,agree_exact,agree_within1,n
gpt4o,gpt35,cognitive_ability,-2.775557561562891e-16,-0.25,0.26,74.0,92.0,50
gpt4o,gpt35,experience,3.929993007522679e-16,-0.28,0.28,16.0,82.0,50
gpt4o,gpt35,problem_solving,-2.312964634635742e-16,-0.26,0.27,28.000000000000004,92.0,50
gpt4o,gpt35,reliability,1.261617073437678e-16,-0.19,0.22,34.0,100.0,50
gpt4o,gpt35,professionalism,3.854941057726238e-17,-0.04,0.07,10.0,82.0,50
gpt4o,gpt35,communication,-5.179737702916663e-16,-0.03,0.05,6.0,84.0,50
gpt4o,llama,cognitive_ability,0.6804733727810648,0.5,0.81,69.38775510204081,97.95918367346938,49
gpt4o,llama,experience,0.8086280924146388,0.57,0.91,61.224489795918366,89.79591836734694,49
gpt4o,llama,problem_solving,0.6074270557029179,0.37,0.76,53.06122448979592,93.87755102040816,49
gpt4o,llama,reliability,0.24290220820189193,-0.07,0.52,42.857142857142854,91.83673469387756,49
gpt4o,llama,professionalism,-0.00371747211895899,-0.11,0.15,26.53061224489796,93.87755102040816,49
gpt4o,llama,communication,-0.014889815366289435,-0.09,0.1,20.408163265306122,81.63265306122449,49
gpt4o,recruiter,cognitive_ability,0.015248829403721171,-0.03,0.08,2.0,6.0,50
gpt4o,recruiter,experience,0.06557942876865953,-0.12,0.28,16.0,52.0,50
gpt4o,recruiter,problem_solving,-0.011331444759206713,-0.27,0.26,30.0,62.0,50
gpt4o,recruiter,reliability,-0.005101498565203359,-0.1,0.12,14.000000000000002,50.0,50
gpt4o,recruiter,professionalism,-0.11083123425692708,-0.37,0.17,10.0,82.0,50
gpt4o,recruiter,communication,-0.042692282035888374,-0.12,0.09,4.0,42.0,50
gpt4o,owner,cognitive_ability,0.023979887836008684,-0.04,0.12,0.0,30.0,50
gpt4o,owner,experience,0.1624439325978909,-0.09,0.41,22.0,42.0,50
gpt4o,owner,problem_solving,0.06830985915492988,-0.07,0.24,16.0,44.0,50
gpt4o,owner,reliability,0.021448173949757288,-0.03,0.1,0.0,10.0,50
gpt4o,owner,professionalism,-0.0009391876027233041,-0.07,0.1,24.0,36.0,50
gpt4o,owner,communication,0.007482229704451921,-0.03,0.06,0.0,22.0,50
gpt35,llama,cognitive_ability,-8.000136500975393e-17,-0.28,0.28,71.42857142857143,89.79591836734694,49
gpt35,llama,experience,5.440092820663267e-17,-0.22,0.24,2.0408163265306123,79.59183673469387,49
gpt35,llama,problem_solving,8.774343259134301e-17,-0.19,0.22,8.16326530612245,91.83673469387756,49
gpt35,llama,reliability,-8.160139230994904e-16,-0.03,0.04,4.081632653061225,87.75510204081633,49
gpt35,llama,professionalism,6.840353398762983e-17,-0.01,0.02,0.0,18.367346938775512,49
gpt35,llama,communication,-1.3180841635968266e-16,-0.01,0.02,0.0,6.122448979591836,49
gpt35,recruiter,cognitive_ability,3.106967419659953e-17,-0.02,0.03,0.0,0.0,50
